Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;29719;"Reviews of Modern Physics";journal;"00346861, 15390756";17,337;Q1;298;42;127;14771;4952;120;37,78;351,69;United States;"American Physical Society";"1929-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
2;4000151822;"Nature Physics";journal;"17452473";9,515;Q1;233;335;889;8799;11422;637;16,44;26,27;United Kingdom;"Nature Publishing Group";"2006-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
3;29229;"Physics Reports";journal;"03701573";8,684;Q1;248;41;174;13662;4313;172;27,99;333,22;Netherlands;"Elsevier BV";"1971-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
4;28677;"Living Reviews in Relativity";journal;"14338351";7,304;Q1;75;7;13;3063;256;13;24,20;437,57;Germany;"Albert Einstein Institut";"2000-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
5;21100201772;"Physical Review X";journal;"21603308";6,497;Q1;86;280;609;18225;8117;589;12,09;65,09;United States;"American Physical Society";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
6;29709;"Reports on Progress in Physics";journal;"13616633, 00344885";6,437;Q1;184;77;221;19708;3887;218;16,40;255,95;United Kingdom;"Institute of Physics Publishing";"1934-1942, 1944, 1947, 1949-ongoing";"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
7;11500153511;"ACS Nano";journal;"1936086X, 19360851";6,214;Q1;310;1339;3946;71069;56018;3857;13,70;53,08;United States;"American Chemical Society";"2007-ongoing";"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
8;19700182758;"Nature Communications";journal;"20411723";5,992;Q1;248;5664;11692;273530;141425;10983;11,80;48,29;United Kingdom;"Nature Publishing Group";"2010-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
9;21100470165;"Advanced Science";journal;"21983844";5,012;Q1;54;396;468;26111;6284;456;13,98;65,94;Germany;"Wiley-VCH Verlag";"2015-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
10;21100327726;"Applied Physics Reviews";journal;"19319401";4,099;Q1;40;52;120;10969;1568;117;11,45;210,94;United States;"AIP Publishing LLC";"2014-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
11;29150;"Physical Review Letters";journal;"10797114, 00319007";3,571;Q1;567;2883;7687;131076;66449;7363;9,20;45,47;United States;"American Physical Society";"1958-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
12;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";2,996;Q1;171;444;1248;22830;7221;1233;5,44;51,42;Netherlands;"Elsevier BV";"1972-ongoing";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
13;13017;"Physics of Life Reviews";journal;"15710645";2,691;Q1;52;114;381;4375;495;33;12,67;38,38;Netherlands;"Elsevier BV";"2004-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)"
14;147234;"Selecta Mathematica, New Series";journal;"10221824";2,143;Q1;37;115;170;3506;214;166;1,23;30,49;Switzerland;"Birkhauser Verlag";"1995-2002, 2005-ongoing";"Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
15;21100463549;"Reviews in Physics";journal;"24054283";2,067;Q1;9;5;17;358;114;16;7,13;71,60;Netherlands;"Elsevier BV";"2016-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
16;27545;"European Physical Journal C";journal;"14346052, 14346044";1,972;Q1;156;1016;2239;59111;9866;2141;4,77;58,18;Germany;"Springer Verlag";"1998-ongoing";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
17;21100431535;"Physical Review Applied";journal;"23317019";1,940;Q1;39;642;891;29169;4148;871;4,57;45,43;United States;"American Physical Society";"2014-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
18;21100779241;"Physical Review D";journal;"24700010, 24700029";1,703;Q1;319;3581;10456;200986;42757;10173;4,38;56,13;United States;"American Physical Society";"2002, 2013, 2016-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
19;29047;"New Journal of Physics";journal;"13672630";1,664;Q1;142;696;2237;33956;8107;2181;3,75;48,79;United Kingdom;"Institute of Physics Publishing";"1998-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
20;17800156778;"Computational Science and Discovery";journal;"17494680";1,644;Q1;18;0;13;0;90;13;0,00;0,00;United Kingdom;"Institute of Physics Publishing";"2008-2015";"Computational Mathematics (Q1); Numerical Analysis (Q1); Physics and Astronomy (miscellaneous) (Q1)"
21;13191;"Journal of Computational Physics";journal;"10902716, 00219991";1,643;Q1;213;653;2154;29734;7140;2129;3,13;45,53;United States;"Elsevier Inc.";"1966-ongoing";"Computer Science Applications (Q1); Physics and Astronomy (miscellaneous) (Q1)"
22;27433;"Classical and Quantum Gravity";journal;"02649381";1,580;Q1;145;437;1218;21518;4251;1203;3,40;49,24;United Kingdom;"Institute of Physics Publishing";"1984-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
23;29864;"Rivista del Nuovo Cimento";journal;"0393697X";1,545;Q1;41;12;36;2021;209;36;7,13;168,42;Italy;"Societa Italiana di Fisica";"1969-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
24;24644;"Journal of Physical and Chemical Reference Data";journal;"15297845, 00472689";1,521;Q1;85;20;73;1523;303;65;4,79;76,15;United States;"American Institute of Physics Inc.";"1976-1979, 1996-ongoing";"Chemistry (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
25;21100869887;"Advances in Physics: X";journal;"23746149";1,404;Q1;10;2;63;211;246;62;3,97;105,50;United Kingdom;"Taylor and Francis Ltd.";"2016-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
26;28425;"Fire Safety Journal";journal;"03797112";1,404;Q1;66;103;386;3661;946;378;2,37;35,54;United Kingdom;"Elsevier Ltd.";"1977-ongoing";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1)"
27;25696;"Nonlinearity";journal;"09517715";1,400;Q1;71;216;516;7812;1055;507;1,82;36,17;United Kingdom;"Institute of Physics Publishing";"1988-ongoing";"Applied Mathematics (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)"
28;13877;"European Journal of Mechanics, A/Solids";journal;"09977538";1,389;Q1;78;151;401;6445;1388;399;3,35;42,68;Netherlands;"Elsevier BV";"1990-1992, 1995-ongoing";"Materials Science (miscellaneous) (Q1); Mathematical Physics (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
29;27030;"Applied Physics Letters";journal;"10773118, 00036951";1,331;Q1;401;2326;9370;73773;33391;9177;3,59;31,72;United States;"American Institute of Physics";"1962-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
30;27011;"Physical Chemistry Chemical Physics";journal;"14639084, 14639076";1,310;Q1;199;3053;10217;168879;37487;10057;3,52;55,32;United Kingdom;"Royal Society of Chemistry";"1999-ongoing";"Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
31;28623;"Combustion and Flame";journal;"00102180";1,290;Q1;154;468;1121;23085;5726;1108;4,70;49,33;Netherlands;"Elsevier BV";"1957-ongoing";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
32;13184;"Computer Physics Communications";journal;"00104655";1,262;Q1;154;242;874;9853;3522;862;3,45;40,71;Netherlands;"Elsevier BV";"1969-ongoing";"Hardware and Architecture (Q1); Physics and Astronomy (miscellaneous) (Q1)"
33;21100862881;"Quantum Science and Technology";journal;"20589565";1,262;Q1;10;92;93;4926;274;93;2,95;53,54;United States;"Institute of Physics Publishing";"2016-ongoing";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
34;26531;"Comptes Rendus Physique";journal;"16310705";1,208;Q1;60;41;212;3302;602;192;3,37;80,54;France;"Elsevier Masson";"2002-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
35;20450;"International Journal of Multiphase Flow";journal;"03019322";1,175;Q1;108;243;543;10463;1798;538;3,01;43,06;United Kingdom;"Elsevier Ltd.";"1973-ongoing";"Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Physics and Astronomy (miscellaneous) (Q1)"
36;28551;"Physics of the Earth and Planetary Interiors";journal;"00319201";1,160;Q1;102;130;283;7144;694;272;2,61;54,95;Netherlands;"Elsevier BV";"1967-ongoing";"Physics and Astronomy (miscellaneous) (Q1); Astronomy and Astrophysics (Q2); Geophysics (Q2); Space and Planetary Science (Q2)"
37;28134;"Journal of Chemical Physics";journal;"10897690, 00219606";1,159;Q1;314;2125;6788;121892;19350;6596;2,97;57,36;United States;"American Institute of Physics";"1933-ongoing";"Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
38;26998;"Annalen der Physik";journal;"00033804, 15213889";1,091;Q1;50;140;335;7091;994;317;3,23;50,65;Germany;"Wiley - VCH Verlag GmbH & Co. KG";"1799-1943, 1947-1950, 1952, 1957-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
39;144980;"Multiscale Modeling and Simulation";journal;"15403459";1,078;Q1;57;67;174;2670;379;174;1,97;39,85;United States;"Society for Industrial and Applied Mathematics";"2004-ongoing";"Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Ecological Modeling (Q1); Modeling and Simulation (Q1); Physics and Astronomy (miscellaneous) (Q1)"
40;17037;"Physica Medica";journal;"11201797";1,057;Q1;34;236;670;8225;1697;664;2,49;34,85;Italy;"Istituti Editoriali e Poligrafici Internazionali";"1960, 1989-ongoing";"Biophysics (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
41;27457;"Contemporary Physics";journal;"00107514, 13665812";1,056;Q1;50;16;101;1050;249;97;2,92;65,63;United Kingdom;"Taylor & Francis";"1959-1971, 1973-1978, 1980-1990, 1992-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
42;16400154786;"Journal of Biophotonics";journal;"1864063X";1,039;Q1;56;337;416;13424;1428;371;3,84;39,83;Germany;"Wiley - VCH Verlag GmbH & CO. KGaA";"2008-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
43;27971;"Zeitschrift für Angewandte Mathematik und Physik";journal;"14209039, 00442275";1,039;Q1;51;150;475;4693;866;472;1,73;31,29;Switzerland;"Birkhauser Verlag";"1950-ongoing";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
44;27955;"Fortschritte der Physik";journal;"15213978, 00158208";1,023;Q1;53;42;174;1969;488;170;2,76;46,88;United Kingdom;"John Wiley & Sons Ltd.";"1953-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
45;144604;"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences";journal;"13645021, 14712946";0,998;Q1;112;240;848;10680;2466;838;2,88;44,50;United Kingdom;"The Royal Society";"1974-1988, 1990-ongoing";"Engineering (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
46;27430;"Chaos";journal;"10541500, 10897682";0,990;Q1;93;478;944;21604;2701;933;2,79;45,20;United States;"American Institute of Physics";"1991-ongoing";"Applied Mathematics (Q1); Mathematical Physics (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)"
47;20327;"Experiments in Fluids";journal;"14321114, 07234864";0,977;Q1;103;185;593;6855;1651;567;2,79;37,05;Germany;"Springer Verlag";"1983-ongoing";"Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
48;25854;"European Polymer Journal";journal;"00143057";0,967;Q1;120;531;1548;27503;6026;1523;3,76;51,79;United Kingdom;"Elsevier Ltd.";"1965-ongoing";"Materials Chemistry (Q1); Organic Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Polymers and Plastics (Q1)"
49;28593;"Journal of Turbulence";journal;"14685248";0,948;Q1;41;45;161;1495;315;156;2,04;33,22;United Kingdom;"Taylor & Francis";"2000-ongoing";"Computational Mechanics (Q1); Condensed Matter Physics (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
50;29784;"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences";journal;"14712962, 1364503X";0,948;Q1;143;371;1048;18313;3382;1015;3,18;49,36;United Kingdom;"The Royal Society";"1969-1971, 1974-1975, 1977-1983, 1985-1988, 1991-ongoing";"Engineering (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
51;27029;"Applied Physics B: Lasers and Optics";journal;"09462171";0,933;Q1;119;236;874;7994;1674;858;1,92;33,87;Germany;"Springer Verlag";"1994-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
52;13300154702;"Applied Physics Express";journal;"18820778";0,924;Q1;79;383;1151;11866;3232;1131;2,83;30,98;Japan;"Japan Soc of Applied Physics";"2008-ongoing";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
53;21100203111;"IEEE Wireless Communications Letters";journal;"21622337";0,923;Q1;46;365;558;3367;2460;554;4,39;9,22;United States;"IEEE Communications Society";"2012-ongoing";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Physics and Astronomy (miscellaneous) (Q1)"
54;9500154114;"Advances in Theoretical and Mathematical Physics";journal;"10950761";0,885;Q1;65;17;98;688;164;97;1,63;40,47;United States;"International Press of Boston, Inc.";"1997-ongoing";"Mathematics (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
55;26899;"Fluid Phase Equilibria";journal;"03783812";0,864;Q1;103;361;1269;17407;3197;1248;2,64;48,22;Netherlands;"Elsevier BV";"1977-ongoing";"Chemical Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q2)"
56;29651;"Granular Matter";journal;"14347636, 14345021";0,857;Q1;52;79;229;3512;600;227;2,48;44,46;Germany;"Springer Verlag";"1998-ongoing";"Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
57;10600153306;"Communications in Computational Physics";journal;"18152406, 19917120";0,855;Q1;44;5;361;197;591;359;1,40;39,40;United Kingdom;"Cambridge University Press";"2007-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
58;21100201020;"Communications in Number Theory and Physics";journal;"19314523, 19314531";0,851;Q1;23;19;53;738;82;53;1,57;38,84;United States;"International Press of Boston, Inc.";"2007-ongoing";"Algebra and Number Theory (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)"
59;10800153309;"Romanian Reports on Physics";journal;"12211451, 18418759";0,842;Q1;28;63;357;3868;626;355;1,84;61,40;Romania;"Editura Academiei Romane";"2007-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
60;4400151518;"Physical Review Special Topics - Physics Education Research";journal;"15549178";0,834;Q1;36;0;58;0;161;55;0,00;0,00;United States;"American Physical Society";"2005-2015";"Education (Q1); Physics and Astronomy (miscellaneous) (Q1)"
61;21100788306;"Physical Review Accelerators and Beams";journal;"24699888";0,823;Q1;13;206;431;6040;819;415;1,97;29,32;United States;"American Physical Society";"2016-ongoing";"Physics and Astronomy (miscellaneous) (Q1); Surfaces and Interfaces (Q1); Nuclear and High Energy Physics (Q2)"
62;21100870853;"npj Microgravity";journal;"23738065";0,817;Q1;9;23;72;1269;208;63;3,32;55,17;United Kingdom;"Nature Publishing Group";"2015-2016, 2018-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Space and Planetary Science (Q2)"
63;20541;"Computational Materials Science";journal;"09270256";0,812;Q1;97;738;1774;33947;4778;1746;2,74;46,00;Netherlands;"Elsevier BV";"1992-ongoing";"Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Computational Mathematics (Q2); Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2)"
64;27002;"Annals of Physics";journal;"00034916, 1096035X";0,803;Q1;91;264;878;13439;1782;860;2,11;50,91;United States;"Elsevier Inc.";"1957-ongoing";"Physics and Astronomy (miscellaneous) (Q1)"
65;130129;"Physical Review Special Topics - Accelerators and Beams";journal;"10984402";0,802;Q2;62;0;189;0;396;186;0,00;0,00;United States;"American Physical Society";"1998-2015";"Nuclear and High Energy Physics (Q2); Physics and Astronomy (miscellaneous) (Q2); Surfaces and Interfaces (Q2)"
66;5700165208;"Journal of Physics A: Mathematical and Theoretical";journal;"17518113, 17518121";0,783;Q2;128;539;1935;23411;3720;1896;2,09;43,43;United Kingdom;"Institute of Physics Publishing";"2007-ongoing";"Modeling and Simulation (Q1); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)"
67;13712;"Continuum Mechanics and Thermodynamics";journal;"09351175, 14320959";0,774;Q2;44;122;231;4886;463;217;2,11;40,05;Germany;"Springer Verlag";"1989-ongoing";"Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2); Physics and Astronomy (miscellaneous) (Q2)"
68;11500153309;"Romanian Journal in Physics";journal;"1221146X";0,771;Q2;25;65;360;2241;453;358;1,46;34,48;Romania;"Editura Academiei Romane/Publishing House of the Romanian Academy";"2008-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
69;19700190315;"Beilstein Journal of Nanotechnology";journal;"21904286";0,769;Q2;46;285;734;14514;2105;686;2,44;50,93;Germany;"Beilstein-Institut Zur Forderung der Chemischen Wissenschaften";"2010-ongoing";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2); Physics and Astronomy (miscellaneous) (Q2)"
70;29018;"International Journal of Modern Physics E";journal;"02183013";0,746;Q2;45;118;408;5825;623;398;1,42;49,36;Singapore;"World Scientific Publishing Co";"1996-ongoing";"Nuclear and High Energy Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)"
71;28132;"Journal of Applied Physics";journal;"10897550, 00218979";0,746;Q2;294;2125;7793;87493;18058;7688;2,37;41,17;United States;"American Institute of Physics";"1931-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
72;21100237615;"Progress of Theoretical and Experimental Physics";journal;"20503911";0,739;Q2;31;142;507;6129;861;491;1,76;43,16;United Kingdom;"Oxford University Press";"2013-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
73;19600166401;"Science China: Physics, Mechanics and Astronomy";journal;"16747348";0,733;Q2;41;166;384;6836;1035;328;3,41;41,18;China;"Zhongguo Kexue Zazhishe/Science in China Press";"2010-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
74;29244;"Physics-Uspekhi";journal;"10637869, 14684780";0,731;Q2;69;76;243;9868;602;241;2,71;129,84;Russian Federation;"Russian Academy of Sciences";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
75;29234;"Physics Today";trade journal;"00319228";0,727;Q2;102;124;385;1064;392;355;0,95;8,58;United States;"American Institute of Physics";"1973-1975, 1977, 1979-1981, 1983-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
76;19700201416;"Frontiers of Physics";journal;"20950462, 20950470";0,714;Q2;31;138;246;6910;606;244;2,47;50,07;United States;"Springer Science + Business Media";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
77;5400152708;"Laser Physics Letters";journal;"1612202X, 16122011";0,711;Q2;65;330;744;9857;1626;740;2,34;29,87;United States;"Institute of Physics Publishing (IOP)";"2004-ongoing";"Instrumentation (Q1); Physics and Astronomy (miscellaneous) (Q2)"
78;27551;"Europhysics Letters";journal;"02955075, 12864854";0,710;Q2;144;461;2135;16721;4059;2098;1,90;36,27;United States;"Institute of Physics Publishing";"1986-1988, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
79;21100813704;"Physical Review Physics Education Research";journal;"24699896";0,708;Q2;10;85;179;4578;491;165;2,98;53,86;United States;"American Physical Society";"2016-ongoing";"Education (Q1); Physics and Astronomy (miscellaneous) (Q2)"
80;21322;"Flow, Turbulence and Combustion";journal;"13866184, 15731987";0,703;Q2;54;134;282;5662;718;273;2,46;42,25;Netherlands;"Kluwer Academic Publishers";"1996-ongoing";"Chemical Engineering (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2)"
81;23100;"Proceedings of the Japan Academy Series B: Physical and Biological Sciences";journal;"13492896, 03862208";0,703;Q2;46;33;123;2140;264;118;1,92;64,85;Japan;"Nippon Gakushiin/Japan Academy";"1996-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q1); Multidisciplinary (Q1); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
82;4700151913;"Journal of Energetic Materials";journal;"07370652";0,693;Q2;29;47;101;1335;212;101;1,82;28,40;United Kingdom;"Taylor & Francis";"1983-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
83;13878;"European Journal of Mechanics, B/Fluids";journal;"09977546";0,679;Q2;58;153;393;5287;847;385;2,03;34,56;Netherlands;"Elsevier BV";"1990-1992, 1995-ongoing";"Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)"
84;26966;"Journal of Photochemistry and Photobiology A: Chemistry";journal;"10106030";0,657;Q2;145;677;1051;31837;3371;1046;3,31;47,03;Netherlands;"Elsevier BV";"1987-ongoing";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
85;29676;"Quantum Information and Computation";journal;"15337146";0,644;Q2;57;43;173;1344;281;172;1,54;31,26;United States;"Rinton Press, Inc.";"2001-ongoing";"Computational Theory and Mathematics (Q2); Mathematical Physics (Q2); Nuclear and High Energy Physics (Q2); Physics and Astronomy (miscellaneous) (Q2); Statistical and Nonlinear Physics (Q2); Theoretical Computer Science (Q2)"
86;12517;"Wave Motion";journal;"01652125";0,628;Q2;52;85;324;3156;571;315;1,73;37,13;Netherlands;"Elsevier BV";"1979-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
87;145515;"Waves in Random and Complex Media";journal;"17455030";0,624;Q2;40;120;158;2975;394;152;2,93;24,79;United Kingdom;"Taylor & Francis";"2005-ongoing";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q2)"
88;24680;"Diamond and Related Materials";journal;"09259635";0,617;Q2;101;277;645;12119;1574;638;2,34;43,75;Netherlands;"Elsevier BV";"1991-ongoing";"Electrical and Electronic Engineering (Q1); Chemistry (miscellaneous) (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2); Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
