Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
89;19200156922;"Biointerphases";journal;"15594106, 19348630";0,613;Q2;37;83;326;4556;771;314;2,05;54,89;United States;"American Vacuum Society";"2008-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2); Biomaterials (Q3)"
90;26997;"American Journal of Physics";journal;"00029505";0,609;Q2;81;128;384;2897;385;319;1,27;22,63;United States;"American Association of Physics Teachers";"1969, 1977-1978, 1984, 1986, 1989, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
91;27975;"General Relativity and Gravitation";journal;"00017701, 15729532";0,607;Q2;72;156;478;7344;699;448;1,54;47,08;Netherlands;"Kluwer Academic Publishers";"1970-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
92;29173;"Journal of the Physical Society of Japan";journal;"00319015";0,588;Q2;121;411;1275;15827;1884;1262;1,56;38,51;Japan;"Institute of Pure and Applied Physics";"1946-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
93;24531;"Acta Mathematica Scientia";journal;"02529602";0,587;Q2;27;123;364;3331;340;361;1,01;27,08;Netherlands;"Elsevier B.V.";"1996-2004, 2006-ongoing";"Mathematics (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
94;26586;"Chemical Physics Letters";journal;"00092614";0,577;Q2;219;838;2614;30405;4678;2574;1,92;36,28;Netherlands;"Elsevier BV";"1967-ongoing";"Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2)"
95;13784;"Journal of Non-Equilibrium Thermodynamics";journal;"03400204, 14374358";0,564;Q2;31;30;75;1145;135;73;2,16;38,17;Germany;"Walter de Gruyter GmbH";"1976-1989, 1993-ongoing";"Chemistry (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
96;5600152816;"European Physical Journal: Special Topics";journal;"19516355, 19516401";0,562;Q2;64;112;767;4502;1606;724;1,78;40,20;Germany;"Springer Verlag";"2007-ongoing";"Materials Science (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2)"
97;27477;"Current Applied Physics";journal;"15671739";0,561;Q2;75;242;819;8724;1652;809;2,09;36,05;Netherlands;"Elsevier BV";"2001-ongoing";"Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
98;12183;"Journal of Nonlinear Optical Physics and Materials";journal;"02188635";0,544;Q2;30;45;163;1621;268;161;2,00;36,02;Singapore;"World Scientific Publishing Co";"1996-ongoing";"Atomic and Molecular Physics, and Optics (Q2); Electronic, Optical and Magnetic Materials (Q2); Physics and Astronomy (miscellaneous) (Q2)"
99;14571;"Shock Waves";journal;"14322153, 09381287";0,544;Q2;46;99;226;3237;341;195;1,59;32,70;Germany;"Springer Verlag";"1991-ongoing";"Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
100;21100241779;"Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science";conference and proceedings;"00002008";0,543;-;23;85;163;1776;231;163;1,49;20,89;Romania;"";"2008-ongoing";"Computer Science (miscellaneous); Engineering (miscellaneous); Mathematics (miscellaneous); Physics and Astronomy (miscellaneous)"
101;29464;"Physics Letters, Section A: General, Atomic and Solid State Physics";journal;"03759601";0,537;Q2;159;554;1893;20318;3820;1798;2,21;36,68;Netherlands;"Elsevier BV";"1963, 1965, 1967-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
102;21100201754;"European Physical Journal Plus";journal;"21905444";0,535;Q2;38;441;1258;18289;3267;1235;2,71;41,47;United States;"Springer Science + Business Media";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
103;19600157213;"GAMM Mitteilungen";journal;"09367195";0,534;Q2;13;24;43;829;54;35;1,47;34,54;Germany;"Wiley - V C H Verlag GmbbH & Co.";"2009-ongoing";"Applied Mathematics (Q2); Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
104;4700152725;"International Journal of Astrobiology";journal;"14735504";0,534;Q2;31;69;161;2179;218;132;1,47;31,58;United Kingdom;"Cambridge University Press";"2002-ongoing";"Earth and Planetary Sciences (miscellaneous) (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Physics and Astronomy (miscellaneous) (Q2); Space and Planetary Science (Q3)"
105;29122;"Physica Scripta";journal;"00318949";0,534;Q2;71;149;1117;6421;1731;1040;2,06;43,09;United States;"Institute of Physics Publishing";"1979-1980, 1984-1989, 1992-ongoing";"Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)"
106;13715;"Entropy";journal;"10994300";0,524;Q2;51;987;1538;41614;4244;1510;2,70;42,16;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"1999-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
107;13713;"Cryogenics";journal;"00112275";0,523;Q2;52;124;321;3061;503;316;1,49;24,69;United Kingdom;"Elsevier Ltd.";"1961-ongoing";"Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
108;21100831025;"Frontiers in Physics";journal;"2296424X";0,519;Q2;8;135;71;8406;159;67;2,37;62,27;Switzerland;"Frontiers Media S.A.";"2017-ongoing";"Materials Science (miscellaneous) (Q2); Mathematical Physics (Q2); Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2); Biophysics (Q3)"
109;145625;"Ionics";journal;"09477047";0,518;Q2;48;495;1015;19955;2268;982;2,27;40,31;Germany;"Institute for Ionics";"1995-ongoing";"Engineering (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
110;18465;"Fluid Dynamics Research";journal;"01695983";0,515;Q2;43;97;201;3144;215;194;1,02;32,41;United States;"Institute of Physics Publishing";"1986-ongoing";"Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
111;19900193962;"AIP Advances";journal;"21583226";0,504;Q2;44;1829;3632;50894;6237;3577;1,62;27,83;United States;"American Institute of Physics Inc.";"2011-ongoing";"Nanoscience and Nanotechnology (Q2); Physics and Astronomy (miscellaneous) (Q2)"
112;29252;"Plasma Physics Reports";journal;"1063780X";0,501;Q2;40;124;352;3358;427;351;1,11;27,08;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1996-ongoing";"Condensed Matter Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)"
113;28115;"JETP Letters";journal;"10906487, 00213640";0,500;Q2;67;304;984;7186;1316;977;1,41;23,64;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1969-1971, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
114;26938;"Acta Physica Slovaca";journal;"03230465";0,492;Q2;29;2;11;277;22;11;0,80;138,50;Slovakia;"Slovenska Akademia Vied";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
115;18535;"International Journal of Fluid Power";journal;"14399776";0,490;Q2;22;15;47;542;75;44;1,67;36,13;United Kingdom;"Taylor & Francis";"2000-ongoing";"Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
116;12249;"Studies in History and Philosophy of Science Part B Studies in History and Philosophy of Modern Physics";journal;"13552198";0,490;Q2;35;50;125;2293;137;112;1,19;45,86;Netherlands;"Elsevier BV";"1995-ongoing";"History (Q1); History and Philosophy of Science (Q1); Physics and Astronomy (miscellaneous) (Q2)"
117;26881;"Combustion Science and Technology";journal;"1563521X, 00102202";0,489;Q2;68;217;359;7398;652;352;1,73;34,09;United Kingdom;"Taylor & Francis";"1969-ongoing";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Physics and Astronomy (miscellaneous) (Q2)"
118;13711;"Combustion Theory and Modelling";journal;"13647830";0,482;Q2;55;67;143;3274;260;138;1,75;48,87;United Kingdom;"Taylor & Francis";"1997-ongoing";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Modeling and Simulation (Q2); Physics and Astronomy (miscellaneous) (Q2)"
119;26584;"Chemical Physics";journal;"03010104";0,481;Q2;110;306;662;14664;1102;651;1,82;47,92;Netherlands;"Elsevier BV";"1973-ongoing";"Physics and Astronomy (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q3)"
120;130262;"Japanese Journal of Applied Physics, Part 1: Regular Papers & Short Notes";journal;"00214922";0,471;Q2;116;1435;3623;48074;5396;3543;1,52;33,50;Japan;"Japan Society of Applied Physics";"1982-2008, 2013-ongoing";"Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q2)"
121;27454;"Composite Interfaces";journal;"09276440, 15685543";0,462;Q2;40;78;189;3557;367;182;2,17;45,60;United Kingdom;"Taylor & Francis";"1993-ongoing";"Ceramics and Composites (Q2); Physics and Astronomy (miscellaneous) (Q2); Surfaces, Coatings and Films (Q2)"
122;19900192162;"Results in Physics";journal;"22113797";0,452;Q2;27;737;875;23076;2740;871;3,28;31,31;Netherlands;"Elsevier BV";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
123;23897;"Journal of Geometry and Physics";journal;"03930440";0,450;Q2;45;241;619;6155;474;604;0,84;25,54;Netherlands;"Elsevier BV";"1984-1990, 1992-ongoing";"Physics and Astronomy (miscellaneous) (Q2); Geometry and Topology (Q3); Mathematical Physics (Q3)"
124;28517;"Journal of Experimental and Theoretical Physics";journal;"10637761, 10906509";0,447;Q2;50;216;714;7040;839;705;1,13;32,59;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1997-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
125;27536;"European Journal of Physics";journal;"01430807";0,441;Q2;38;249;682;5838;573;662;0,91;23,45;United Kingdom;"Institute of Physics Publishing";"1980-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
126;14371;"Fluid Dynamics";journal;"15738507, 00154628";0,438;Q2;19;103;271;2137;217;267;0,76;20,75;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1966, 1968-ongoing";"Fluid Flow and Transfer Processes (Q2); Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
127;34667;"Microgravity Science and Technology";journal;"09380108";0,436;Q2;27;95;158;2973;277;155;1,93;31,29;Netherlands;"Springer Netherlands";"1990-1999, 2001-ongoing";"Engineering (miscellaneous) (Q1); Modeling and Simulation (Q2); Physics and Astronomy (miscellaneous) (Q2); Applied Mathematics (Q3)"
128;12966;"Chinese Journal of Physics";journal;"05779073, 23099097";0,431;Q2;25;308;480;11226;1030;477;2,56;36,45;Taiwan;"Zhonghua Minguo Wuli Xuehui";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
129;12311;"Technical Physics Letters";journal;"10906533, 10637850";0,396;Q2;29;348;976;4215;876;972;0,99;12,11;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q2)"
130;17870;"Nondestructive Testing and Evaluation";journal;"10589759";0,392;Q3;25;32;74;851;114;74;1,61;26,59;United Kingdom;"Taylor & Francis";"1989-2003, 2005-ongoing";"Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q3); Physics and Astronomy (miscellaneous) (Q3)"
131;27502;"Doklady Physics";journal;"10283358, 15626903";0,390;Q3;25;125;414;1280;314;410;0,83;10,24;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1996-ongoing";"Computational Mechanics (Q2); Mechanics of Materials (Q3); Physics and Astronomy (miscellaneous) (Q3)"
132;27956;"Foundations of Physics";journal;"15729516, 00159018";0,381;Q3;46;100;262;3977;283;247;1,34;39,77;United States;"Kluwer Academic/Plenum Publishers";"1970-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
133;12965;"Zeitschrift für Naturforschung - Section A Journal of Physical Sciences";journal;"09320784";0,370;Q3;42;133;409;4597;467;405;1,12;34,56;Germany;"Walter de Gruyter GmbH";"1996-ongoing";"Mathematical Physics (Q3); Physical and Theoretical Chemistry (Q3); Physics and Astronomy (miscellaneous) (Q3)"
134;21100834919;"SEMA SIMAI Springer Series";book series;"21993041, 2199305X";0,365;Q3;6;35;118;1234;60;44;1,62;35,26;Switzerland;"Springer International Publishing AG";"2012-ongoing";"Agricultural and Biological Sciences (miscellaneous) (Q2); Fluid Flow and Transfer Processes (Q2); Industrial and Manufacturing Engineering (Q2); Applied Mathematics (Q3); Computational Mathematics (Q3); Computational Mechanics (Q3); Numerical Analysis (Q3); Physics and Astronomy (miscellaneous) (Q3)"
135;21100199757;"European Physical Journal H";journal;"21026459";0,363;Q3;18;18;45;1544;38;45;0,87;85,78;Germany;"Springer Verlag";"2010-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
136;21100201037;"Journal of Astronomy and Space Science";journal;"20935587, 20931409";0,358;Q3;10;22;126;738;90;125;0,74;33,55;South Korea;"The Korean Space Science Society";"2010-ongoing";"Earth and Planetary Sciences (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q3)"
137;12310;"Technical Physics";journal;"10637842, 10906525";0,356;Q3;29;303;966;5450;720;963;0,73;17,99;Russian Federation;"Maik Nauka/Interperiodica Publishing";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
138;4700152498;"Archives of Thermodynamics";journal;"20836023, 12310956";0,345;Q3;11;34;100;740;100;99;1,14;21,76;Poland;"Polish Academy of Sciences";"2003-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
139;37960;"Magnetohydrodynamics";journal;"0024998X";0,344;Q3;21;50;204;579;151;197;0,75;11,58;United States;"Consultants Bureau";"1970-1991, 2008-ongoing";"Electrical and Electronic Engineering (Q2); Physics and Astronomy (miscellaneous) (Q3)"
140;4700152702;"International Journal of Geometric Methods in Modern Physics";journal;"02198878";0,342;Q3;25;223;523;9604;504;514;0,98;43,07;Singapore;"World Scientific Publishing Co";"2005-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
141;11500153404;"Chinese Physics B";journal;"16741056";0,339;Q3;43;1043;3220;42485;4071;3216;1,33;40,73;United States;"Institute of Physics Publishing";"2008-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
142;27453;"Communications in Theoretical Physics";journal;"02536102";0,330;Q3;43;210;660;7765;820;660;1,42;36,98;United States;"Institute of Physics Publishing";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
143;29642;"Pramana - Journal of Physics";journal;"03044289, 09737111";0,318;Q3;43;167;583;6093;623;567;1,11;36,49;India;"Springer India";"1973-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
144;27048;"Baozha Yu Chongji/Expolosion and Shock Waves";journal;"10011455";0,315;Q3;25;180;421;2949;208;421;0,47;16,38;China;"Explosion and Shock Waves";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
145;13789;"Low Temperature Physics";journal;"10906517, 1063777X";0,313;Q3;35;174;535;6589;414;521;0,81;37,87;United States;"American Institute of Physics";"1987-1989, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
146;21100788924;"African Journal of Research in Mathematics, Science and Technology Education";journal;"18117295, 24697656";0,310;Q3;12;36;82;1096;44;81;0,55;30,44;United Kingdom;"Taylor and Francis Ltd.";"1997-ongoing";"Engineering (miscellaneous) (Q2); Computer Science Applications (Q3); Education (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
147;28139;"Journal of Electromagnetic Waves and Applications";journal;"15693937, 09205071";0,308;Q3;46;181;552;5090;744;542;1,42;28,12;United Kingdom;"Taylor & Francis";"1987-ongoing";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3); Physics and Astronomy (miscellaneous) (Q3)"
148;28077;"International Journal of Modern Physics C";journal;"01291831";0,302;Q3;57;137;451;4547;490;448;1,10;33,19;Singapore;"World Scientific Publishing Co";"1996-ongoing";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Mathematical Physics (Q3); Physics and Astronomy (miscellaneous) (Q3); Statistical and Nonlinear Physics (Q3)"
149;4400151401;"Condensed Matter Physics";journal;"1607324X, 22249079";0,300;Q3;21;47;174;1500;134;165;0,90;31,91;Ukraine;"Institute for Condensed Matter Physics of the National Academy of Sciences of Ukraine";"2005-ongoing";"Condensed Matter Physics (Q3); Physics and Astronomy (miscellaneous) (Q3)"
150;26937;"Acta Physica Polonica, Series B.";journal;"05874254";0,296;Q3;55;167;708;5100;409;696;0,61;30,54;Poland;"Jagiellonian University Press";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
151;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";0,296;Q3;4;26;53;786;62;52;1,19;30,23;Russian Federation;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-ongoing";"Fluid Flow and Transfer Processes (Q2); Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Physics and Astronomy (miscellaneous) (Q3); Signal Processing (Q3)"
152;28078;"International Journal of Theoretical Physics";journal;"15729575, 00207748";0,295;Q3;54;370;1204;12215;1218;1190;1,11;33,01;United States;"Kluwer Academic/Plenum Publishers";"1968-ongoing";"Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
153;19400158455;"Mapan - Journal of Metrology Society of India";journal;"09703950, 09749853";0,293;Q3;13;57;104;1713;124;103;1,32;30,05;India;"Springer India";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
154;27432;"Chinese Physics Letters";journal;"0256307X";0,292;Q3;59;287;1414;8008;1305;1410;0,98;27,90;United Kingdom;"Institute of Physics Publishing";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
155;25805;"UPB Scientific Bulletin, Series A: Applied Mathematics and Physics";journal;"12237027";0,290;Q3;17;115;339;2438;180;339;0,50;21,20;Romania;"Universitatea Politehnica Bucuresti";"1996-ongoing";"Applied Mathematics (Q3); Physics and Astronomy (miscellaneous) (Q3)"
156;27951;"Annales de la Fondation Louis de Broglie";journal;"01824295";0,289;Q3;15;7;20;204;26;19;1,37;29,14;France;"Fondation Louis de Broglie";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
157;19700188325;"Frontiers in Heat and Mass Transfer";journal;"21518629";0,289;Q3;16;65;134;2137;167;134;1,36;32,88;United States;"Global Digital Central";"2010-ongoing";"Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
158;12893;"Combustion, Explosion and Shock Waves";journal;"15738345, 00105082";0,288;Q3;35;94;269;2038;310;269;0,83;21,68;Netherlands;"Kluwer Academic Publishers";"1965-ongoing";"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Physics and Astronomy (miscellaneous) (Q3)"
159;23247;"International Journal of Nonlinear Sciences and Numerical Simulation";journal;"15651339, 21910294";0,288;Q3;53;68;128;2380;142;128;0,96;35,00;Germany;"Walter de Gruyter GmbH";"2000-ongoing";"Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Computational Mechanics (Q3); Mechanics of Materials (Q3); Modeling and Simulation (Q3); Physics and Astronomy (miscellaneous) (Q3); Statistical and Nonlinear Physics (Q3)"
160;19800188068;"International Journal of Spray and Combustion Dynamics";journal;"17568277, 17568285";0,288;Q3;12;25;68;1038;96;66;1,45;41,52;United Kingdom;"SAGE Publications Inc.";"2011-ongoing";"Automotive Engineering (Q2); Energy Engineering and Power Technology (Q3); Physics and Astronomy (miscellaneous) (Q3)"
161;21100201542;"Symmetry";journal;"20738994";0,287;Q3;24;749;501;28958;1140;492;2,51;38,66;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"2009-ongoing";"Computer Science (miscellaneous) (Q2); Chemistry (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
162;19700166617;"International Journal of Mechanics";journal;"19984448";0,282;Q3;16;30;139;739;137;139;1,14;24,63;United States;"North Atlantic University Union";"2009-ongoing";"Electrical and Electronic Engineering (Q2); Physics and Astronomy (miscellaneous) (Q3)"
163;19700173018;"Physics of Wave Phenomena";journal;"1934807X, 1541308X";0,282;Q3;11;45;147;1006;107;143;0,76;22,36;United States;"Springer Science + Business Media";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
164;19200156904;"Chalcogenide Letters";journal;"15848663";0,280;Q3;25;73;209;1836;193;193;1,05;25,15;Romania;"National Institute of Materials Physics, National Institute of Optoelectronics";"2006-ongoing";"Chemistry (miscellaneous) (Q3); Electronic, Optical and Magnetic Materials (Q3); Physics and Astronomy (miscellaneous) (Q3)"
165;19700182808;"Plasma Medicine";journal;"19475772, 19475764";0,278;Q3;15;11;93;398;102;90;1,12;36,18;United States;"Begell House Inc.";"2011-ongoing";"Biomedical Engineering (Q3); Physics and Astronomy (miscellaneous) (Q3)"
166;144982;"Physics Education";journal;"00319120";0,277;Q3;16;174;478;1743;245;444;0,58;10,02;United Kingdom;"Institute of Physics";"1966-1995, 2005-ongoing";"Education (Q3); Physics and Astronomy (miscellaneous) (Q3)"
167;21100775055;"Journal of Theoretical and Applied Physics";journal;"22517227, 22517235";0,267;Q3;7;41;82;1249;99;82;1,21;30,46;United Kingdom;"Springer Open";"2012-2013, 2016-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
168;29428;"Fluctuation and Noise Letters";journal;"02194775";0,263;Q3;24;42;122;1354;116;122;0,99;32,24;Singapore;"World Scientific Publishing Co";"2004-2008, 2010-ongoing";"Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
169;145208;"Indian Journal of Physics";journal;"09731458, 09749845";0,256;Q3;26;171;508;6591;520;506;1,09;38,54;India;"Indian Physical Society";"2005-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
170;28721;"Moscow University Physics Bulletin (English Translation of Vestnik Moskovskogo Universiteta, Fizika)";journal;"00271349";0,256;Q3;12;87;252;2131;180;250;0,72;24,49;United States;"Allerton Press Inc.";"1975-1977, 1982-1989, 2009-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
171;19700174657;"Lithuanian Journal of Physics";journal;"16488504";0,253;Q3;14;20;87;527;65;87;0,76;26,35;Lithuania;"Lithuanian Physical Society";"2008-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
172;27404;"Brazilian Journal of Physics";journal;"01039733";0,252;Q3;41;61;238;2617;233;235;0,88;42,90;United States;"Springer New York LLC";"1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
173;4700152704;"International Journal of Quantum Information";journal;"02197499";0,252;Q3;31;78;238;2318;195;218;0,92;29,72;Singapore;"World Scientific Publishing Co";"2005-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
174;27420;"Canadian Journal of Physics";journal;"00084204, 12086045";0,248;Q3;48;196;551;6237;503;537;1,02;31,82;Canada;"NRC Research Press";"1970-1991, 1993-1994, 1996-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
175;12400154705;"Physics Procedia";conference and proceedings;"00002008, 00002011, 00002013";0,248;-;44;0;2276;0;1692;2221;0,98;0,00;Netherlands;"";"2008-2011, 2013-ongoing";"Physics and Astronomy (miscellaneous)"
176;19700173019;"Journal of Contemporary Physics";journal;"19349378, 10683372";0,247;Q3;10;50;168;862;85;165;0,59;17,24;United States;"Springer Science + Business Media";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
177;21100375849;"Open Physics";journal;"23915471";0,237;Q3;30;135;277;3706;279;275;1,05;27,45;Germany;"Walter de Gruyter GmbH";"2015-ongoing";"Physics and Astronomy (miscellaneous) (Q3)"
178;130022;"Progress in Biomedical Optics and Imaging - Proceedings of SPIE";conference and proceedings;"00002004";0,234;-;47;2131;6717;36751;3311;6496;0,57;17,25;United States;"";"2004-ongoing";"Engineering (miscellaneous); Medicine (miscellaneous); Physics and Astronomy (miscellaneous)"
